K0_number	Gene_identification	Label
K19485	PLAGL1; zinc finger protein PLAGL1	PLAGL1; zinc finger protein PLAGL1
K10347	LRRC41, MUF1; leucine-rich repeat-containing protein 41	LRRC41, MUF1; leucine-rich repeat-containing protein 41
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]
K04359	PDGFA; platelet-derived growth factor subunit A	PDGFA; platelet-derived growth factor subunit A
K11725	LHPP; phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]	LHPP; phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]
K03224	yscN, sctN, hrcN; ATP synthase in type III secretion protein N [EC:3.6.3.14]	yscN, sctN, hrcN; ATP synthase in type III secretion protein N [EC:3.6.3.14]
K11465	SCML2; sex comb on midleg-like protein 2	SCML2; sex comb on midleg-like protein 2
K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K16364	GLDN; GLDN; gliomedin	GLDN; GLDN; gliomedin
K17634	RASAL3; RAS protein activator-like 3	RASAL3; RAS protein activator-like 3
K07414	CYP2D; cytochrome P450 family 2 subfamily D [EC:1.14.14.1]	CYP2D; cytochrome P450 family 2 subfamily D [EC:1.14.14.1]
K07559	kptA; putative RNA 2'-phosphotransferase [EC:2.7.1.-]	kptA; putative RNA 2'-phosphotransferase [EC:2.7.1.-]
K09354	HESX1; homeobox protein expressed in ES cells 1	HESX1; homeobox protein expressed in ES cells 1
K03750	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
K01827	DCT; dopachrome tautomerase [EC:5.3.3.12]	DCT; dopachrome tautomerase [EC:5.3.3.12]
K10466	KLHL30; kelch-like protein 30	KLHL30; kelch-like protein 30
K05376	cpeA, mpeA; phycoerythrin alpha chain	cpeA, mpeA; phycoerythrin alpha chain
K03590	ftsA; cell division protein FtsA	ftsA; cell division protein FtsA
K15621	BAIAP3; BAI1-associated protein 3	BAIAP3; BAI1-associated protein 3
K05529	MNN9; mannan polymerase complexes MNN9 subunit [EC:2.4.1.-]	MNN9; mannan polymerase complexes MNN9 subunit [EC:2.4.1.-]
K13781	SLC7A8, LAT2; solute carrier family 7 (L-type amino acid transporter), member 8	SLC7A8, LAT2; solute carrier family 7 (L-type amino acid transporter), member 8
K03610	minC; septum site-determining protein MinC	minC; septum site-determining protein MinC
K16775	MPHOSPH9, MPP9; M-phase phosphoprotein 9	MPHOSPH9, MPP9; M-phase phosphoprotein 9
K04161	HTR5; 5-hydroxytryptamine receptor 5	HTR5; 5-hydroxytryptamine receptor 5
K18716	NUP42, RIP1; nucleoporin NUP42	NUP42, RIP1; nucleoporin NUP42
K05081	PRLR; prolactin receptor	PRLR; prolactin receptor
K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K07995	MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-]	MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-]
K11924	mntR; DtxR family transcriptional regulator, manganese transport regulator	mntR; DtxR family transcriptional regulator, manganese transport regulator
K01572	oadB; oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]	oadB; oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]
K06644	SFN; stratifin	SFN; stratifin
K12942	abgT; aminobenzoyl-glutamate transport protein	abgT; aminobenzoyl-glutamate transport protein
K03150	thiH; 2-iminoacetate synthase [EC:4.1.99.19]	thiH; 2-iminoacetate synthase [EC:4.1.99.19]
K09663	GCNT4; beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]	GCNT4; beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]
K19558	NBL1; neuroblastoma suppressor of tumorigenicity 1	NBL1; neuroblastoma suppressor of tumorigenicity 1
K04612	CASR; calcium-sensing receptor	CASR; calcium-sensing receptor
K10289	CCNF, FBXO1; F-box protein 1 (cyclin F)	CCNF, FBXO1; F-box protein 1 (cyclin F)
K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
K07017	K07017; uncharacterized protein	K07017; uncharacterized protein
K17441	ZFPM1, FOG1; zinc finger protein ZFPM1	ZFPM1, FOG1; zinc finger protein ZFPM1
K09353	LBX; homeobox protein LBX	LBX; homeobox protein LBX
K15590	TFEB; transcription factor EB	TFEB; transcription factor EB
K10674	ectD; ectoine hydroxylase [EC:1.14.11.-]	ectD; ectoine hydroxylase [EC:1.14.11.-]
K01558	WNT16; wingless-type MMTV integration site family, member 16	WNT16; wingless-type MMTV integration site family, member 16
K06481	ITGA2, CD49b; integrin alpha 2	ITGA2, CD49b; integrin alpha 2
K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]
K08044	ADCY4; adenylate cyclase 4 [EC:4.6.1.1]	ADCY4; adenylate cyclase 4 [EC:4.6.1.1]
K16012	cydC; ATP-binding cassette, subfamily C, bacterial CydC	cydC; ATP-binding cassette, subfamily C, bacterial CydC
K19491	DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5	DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5
K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]
K05237	SST; somatostatin	SST; somatostatin
K03344	IDAX; Dvl-binding protein IDAX	IDAX; Dvl-binding protein IDAX
K09885	AQPF; aquaporin rerated protein, other eukaryote	AQPF; aquaporin rerated protein, other eukaryote
K05367	pbpC; penicillin-binding protein 1C [EC:2.4.1.-]	pbpC; penicillin-binding protein 1C [EC:2.4.1.-]
K03091	SIG3.4; RNA polymerase sporulation-specific sigma factor	SIG3.4; RNA polymerase sporulation-specific sigma factor
K09345	NKX2-5; homeobox protein Nkx-2.5	NKX2-5; homeobox protein Nkx-2.5
K12952	ctpE; cation-transporting ATPase E [EC:3.6.3.-]	ctpE; cation-transporting ATPase E [EC:3.6.3.-]
K15374	TRAK2, GRIF1; trafficking kinesin-binding protein 2	TRAK2, GRIF1; trafficking kinesin-binding protein 2
K13869	SLC7A11; solute carrier family 7 (L-type amino acid transporter), member 11	SLC7A11; solute carrier family 7 (L-type amino acid transporter), member 11
K14385	SLC5A5, NIS; solute carrier family 5 (sodium/iodide cotransporter), member 5	SLC5A5, NIS; solute carrier family 5 (sodium/iodide cotransporter), member 5
K17693	ID2; DNA-binding protein inhibitor ID2	ID2; DNA-binding protein inhibitor ID2
K18916	ptxD; phosphonate dehydrogenase [EC:1.20.1.1]	ptxD; phosphonate dehydrogenase [EC:1.20.1.1]
K09379	ZFHX2; zinc finger homeobox protein 2	ZFHX2; zinc finger homeobox protein 2
K07010	K07010; putative glutamine amidotransferase	K07010; putative glutamine amidotransferase
K04847	SCN3B; voltage-gated sodium channel type III beta	SCN3B; voltage-gated sodium channel type III beta
K12021	TRIM45; tripartite motif-containing protein 45	TRIM45; tripartite motif-containing protein 45
K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K01151	nfo; deoxyribonuclease IV [EC:3.1.21.2]	nfo; deoxyribonuclease IV [EC:3.1.21.2]
K08974	K08974; putative membrane protein	K08974; putative membrane protein
K05003	KCNJ10; potassium inwardly-rectifying channel subfamily J member 10	KCNJ10; potassium inwardly-rectifying channel subfamily J member 10
K04577	CALCRL; calcitonin receptor-like	CALCRL; calcitonin receptor-like
K09457	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K09093	AHR; aryl hydrocarbon receptor	AHR; aryl hydrocarbon receptor
K04586	PTHR2; parathyroid hormone receptor 2	PTHR2; parathyroid hormone receptor 2
K01141	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]
K04375	ELK1; ETS domain-containing protein Elk-1	ELK1; ETS domain-containing protein Elk-1
K07919	RAB33A; Ras-related protein Rab-33A	RAB33A; Ras-related protein Rab-33A
K05106	EPHA5, EHK1, TYRO4; Eph receptor A5 [EC:2.7.10.1]	EPHA5, EHK1, TYRO4; Eph receptor A5 [EC:2.7.10.1]
K10505	ZBTB26; zinc finger and BTB domain-containing protein 26	ZBTB26; zinc finger and BTB domain-containing protein 26
K19810	epmB; L-lysine 2,3-aminomutase [EC:5.4.3.-]	epmB; L-lysine 2,3-aminomutase [EC:5.4.3.-]
K03199	virB4, lvhB4; type IV secretion system protein VirB4	virB4, lvhB4; type IV secretion system protein VirB4
K05209	GRIN2A; glutamate receptor ionotropic, NMDA 2A	GRIN2A; glutamate receptor ionotropic, NMDA 2A
K07916	RAB7L1, RAB7L; Ras-related protein Rab-7L1	RAB7L1, RAB7L; Ras-related protein Rab-7L1
K03951	NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7	NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7
K07996	MMP16; matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-]	MMP16; matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-]
K19715	kdnA; 8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase [EC:2.6.1.109]	kdnA; 8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase [EC:2.6.1.109]
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K08895	SRMS; tyrosine-protein kinase Srms [EC:2.7.10.2]	SRMS; tyrosine-protein kinase Srms [EC:2.7.10.2]
K01060	cah; cephalosporin-C deacetylase [EC:3.1.1.41]	cah; cephalosporin-C deacetylase [EC:3.1.1.41]
K09322	MEOX, MOX; homeobox protein MOX	MEOX, MOX; homeobox protein MOX
K06104	AMOTL; angiomotin like	AMOTL; angiomotin like
K19606	CRTAP; cartilage-associated protein	CRTAP; cartilage-associated protein
K18929	lldF; L-lactate dehydrogenase complex protein LldF	lldF; L-lactate dehydrogenase complex protein LldF
K02188	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
K10340	ASB18; ankyrin repeat and SOCS box protein 18	ASB18; ankyrin repeat and SOCS box protein 18
K14592	FOLH1, GCPII; glutamate carboxypeptidase II (folate hydrolase 1) [EC:3.4.17.21]	FOLH1, GCPII; glutamate carboxypeptidase II (folate hydrolase 1) [EC:3.4.17.21]
K17201	ARL15; ADP-ribosylation factor-like protein 15	ARL15; ADP-ribosylation factor-like protein 15
K17897	GATA6; GATA-binding protein 6	GATA6; GATA-binding protein 6
K02187	CASP3; caspase 3 [EC:3.4.22.56]	CASP3; caspase 3 [EC:3.4.22.56]
K02033	ABC.PE.P; peptide/nickel transport system permease protein	ABC.PE.P; peptide/nickel transport system permease protein
K13757	PDE6C; cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]	PDE6C; cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]
K05094	FGFR3, CD333; fibroblast growth factor receptor 3 [EC:2.7.10.1]	FGFR3, CD333; fibroblast growth factor receptor 3 [EC:2.7.10.1]
K10744	RNASEH2B; ribonuclease H2 subunit B	RNASEH2B; ribonuclease H2 subunit B
K11724	BRDT; bromodomain testis-specific protein	BRDT; bromodomain testis-specific protein
K09278	RUNX2, AML3; runt-related transcription factor 2	RUNX2, AML3; runt-related transcription factor 2
K06756	NRCAM; neuronal cell adhesion molecule	NRCAM; neuronal cell adhesion molecule
K10247	ELOVL1; elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]	Fatty acid biosynthesis
K17631	SYNGAP, RASA5; Ras/Rap GTPase-activating protein SynGAP	SYNGAP, RASA5; Ras/Rap GTPase-activating protein SynGAP
K15531	rexA; oligosaccharide reducing-end xylanase [EC:3.2.1.156]	rexA; oligosaccharide reducing-end xylanase [EC:3.2.1.156]
K03818	wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]	wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
K11799	WDR21A; WD repeat-containing protein 21A	WDR21A; WD repeat-containing protein 21A
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K07481	K07481; transposase, IS5 family	K07481; transposase, IS5 family
K06988	K06988; uncharacterized protein	K06988; uncharacterized protein
K01574	adc; acetoacetate decarboxylase [EC:4.1.1.4]	Fatty acid breakdown
K07363	ITK; IL2-inducible T-cell kinase [EC:2.7.10.2]	ITK; IL2-inducible T-cell kinase [EC:2.7.10.2]
K17480	AATK, LMTK1; lemur tyrosine kinase 1 [EC:2.7.10.1]	AATK, LMTK1; lemur tyrosine kinase 1 [EC:2.7.10.1]
K10490	ZBTB3; zinc finger and BTB domain-containing protein 3	ZBTB3; zinc finger and BTB domain-containing protein 3
K06847	RGM; RGM domain family	RGM; RGM domain family
K05083	ERBB2, HER2, CD340; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	ERBB2, HER2, CD340; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]
K05032	ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8	ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8
K17974	JSN1, PUF1; protein JSN1	JSN1, PUF1; protein JSN1
K17442	ZFPM2, FOG2; zinc finger protein ZFPM2	ZFPM2, FOG2; zinc finger protein ZFPM2
K13716	OTUD1; OTU domain-containing protein 1 [EC:3.4.19.12]	OTUD1; OTU domain-containing protein 1 [EC:3.4.19.12]
K01296	CPM; carboxypeptidase M [EC:3.4.17.12]	CPM; carboxypeptidase M [EC:3.4.17.12]
K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
K18384	L3HYPDH; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]	L3HYPDH; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
K11153	RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]	RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]
K16316	STK31, TDRD8; serine/threonine-protein kinase 31 [EC:2.7.11.1]	STK31, TDRD8; serine/threonine-protein kinase 31 [EC:2.7.11.1]
K17529	SGK494; uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]	SGK494; uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K03632	mukB; chromosome partition protein MukB	mukB; chromosome partition protein MukB
K18285	mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]	mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]
K15208	SNAPC1; snRNA-activating protein complex subunit 1	SNAPC1; snRNA-activating protein complex subunit 1
K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	LPL; lipoprotein lipase [EC:3.1.1.34]
K00423	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
K07031	hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]	hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
K10470	KBTBD2; kelch repeat and BTB domain-containing protein 2	KBTBD2; kelch repeat and BTB domain-containing protein 2
K04012	CR2, CD21; complement receptor type 2	CR2, CD21; complement receptor type 2
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K10887	DCLRE1C, ARTEMIS, SCIDA; DNA cross-link repair 1C protein [EC:3.1.-.-]	DCLRE1C, ARTEMIS, SCIDA; DNA cross-link repair 1C protein [EC:3.1.-.-]
K02024	lamB; maltoporin	lamB; maltoporin
K03570	mreC; rod shape-determining protein MreC	mreC; rod shape-determining protein MreC
K08270	DDIT4, REDD1; DNA-damage-inducible transcript 4	DDIT4, REDD1; DNA-damage-inducible transcript 4
K01388	MMP1; matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]	MMP1; matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]
K08003	MMP25; matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-]	MMP25; matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-]
K04772	degQ, hhoA; serine protease DegQ [EC:3.4.21.-]	degQ, hhoA; serine protease DegQ [EC:3.4.21.-]
K09045	ATF7, ATFA; activating transcription factor 7	ATF7, ATFA; activating transcription factor 7
K02217	ftnA, ftn; ferritin [EC:1.16.3.2]	ftnA, ftn; ferritin [EC:1.16.3.2]
K09808	lolC_E; lipoprotein-releasing system permease protein	lolC_E; lipoprotein-releasing system permease protein
K02387	flgB; flagellar basal-body rod protein FlgB	flgB; flagellar basal-body rod protein FlgB
K02057	ABC.SS.P; simple sugar transport system permease protein	ABC.SS.P; simple sugar transport system permease protein
K04654	hypD; hydrogenase expression/formation protein HypD	hypD; hydrogenase expression/formation protein HypD
K15282	SLC44A3; solute carrier family 44 (choline transporter-like protein), member 3	SLC44A3; solute carrier family 44 (choline transporter-like protein), member 3
K13889	gsiB; glutathione transport system substrate-binding protein	gsiB; glutathione transport system substrate-binding protein
K13156	SNRNP48; U11/U12 small nuclear ribonucleoprotein 48 kDa protein	SNRNP48; U11/U12 small nuclear ribonucleoprotein 48 kDa protein
K05197	GRIA1; glutamate receptor 1	GRIA1; glutamate receptor 1
K11152	RDH11; retinol dehydrogenase 11 [EC:1.1.1.300]	RDH11; retinol dehydrogenase 11 [EC:1.1.1.300]
K16691	KRN; keren	KRN; keren
K16646	ANXA5; annexin A5	ANXA5; annexin A5
K09551	CLGN; calmegin	CLGN; calmegin
K14635	MPH1; ATP-dependent DNA helicase MPH1 [EC:3.6.4.12]	MPH1; ATP-dependent DNA helicase MPH1 [EC:3.6.4.12]
K08677	K08677; kumamolisin	K08677; kumamolisin
K07139	K07139; uncharacterized protein	K07139; uncharacterized protein
K04096	smf; DNA processing protein	smf; DNA processing protein
K11591	MBD3; methyl-CpG-binding domain protein 3	MBD3; methyl-CpG-binding domain protein 3
K15718	LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]	LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
K09703	K09703; uncharacterized protein	K09703; uncharacterized protein
K11069	potD; spermidine/putrescine transport system substrate-binding protein	potD; spermidine/putrescine transport system substrate-binding protein
K02018	modB; molybdate transport system permease protein	modB; molybdate transport system permease protein
K06245	LAMB4; laminin, beta 4	LAMB4; laminin, beta 4
K15256	cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
K04127	cefD; isopenicillin-N epimerase [EC:5.1.1.17]	cefD; isopenicillin-N epimerase [EC:5.1.1.17]
K05084	ERBB3, HER3; receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]	ERBB3, HER3; receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]
K02237	comEA; competence protein ComEA	comEA; competence protein ComEA
K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	fucO; lactaldehyde reductase [EC:1.1.1.77]
K12972	ghrA; glyoxylate/hydroxypyruvate reductase A [EC:1.1.1.79 1.1.1.81]	ghrA; glyoxylate/hydroxypyruvate reductase A [EC:1.1.1.79 1.1.1.81]
K05788	ihfB, himD; integration host factor subunit beta	ihfB, himD; integration host factor subunit beta
K02823	pyrDII; dihydroorotate dehydrogenase electron transfer subunit	pyrDII; dihydroorotate dehydrogenase electron transfer subunit
K01576	mdlC; benzoylformate decarboxylase [EC:4.1.1.7]	mdlC; benzoylformate decarboxylase [EC:4.1.1.7]
K05828	lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]	lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]
K03418	E3.5.1.56; N,N-dimethylformamidase [EC:3.5.1.56]	E3.5.1.56; N,N-dimethylformamidase [EC:3.5.1.56]
K08382	GPR33; G protein-coupled receptor 33	GPR33; G protein-coupled receptor 33
K04117	aliB; cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]	aliB; cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]
K11891	impL, vasK, icmF; type VI secretion system protein ImpL	impL, vasK, icmF; type VI secretion system protein ImpL
K06524	ITGAE, CD103; integrin alpha E	ITGAE, CD103; integrin alpha E
K10459	KLHL22, KELCHL; kelch-like protein 22	KLHL22, KELCHL; kelch-like protein 22
K13157	RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein	RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein
K05829	lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]	lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]
K18439	ARAP1; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	ARAP1; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1
K05142	TNFRSF4, OX40, CD134; tumor necrosis factor receptor superfamily member 4	TNFRSF4, OX40, CD134; tumor necrosis factor receptor superfamily member 4
K15583	oppD; oligopeptide transport system ATP-binding protein	oppD; oligopeptide transport system ATP-binding protein
K07205	EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1	EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1
K00622	nat; arylamine N-acetyltransferase [EC:2.3.1.5]	nat; arylamine N-acetyltransferase [EC:2.3.1.5]
K04385	AXIN2; axin 2	AXIN2; axin 2
K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
K05996	cpt; carboxypeptidase T [EC:3.4.17.18]	cpt; carboxypeptidase T [EC:3.4.17.18]
K16735	ITGB1BP2; integrin beta-1-binding protein 2	ITGB1BP2; integrin beta-1-binding protein 2
K13999	CKAP4, CLIMP63; cytoskeleton-associated protein 4	CKAP4, CLIMP63; cytoskeleton-associated protein 4
K07439	CYP39A1; 24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26]	CYP39A1; 24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26]
K03709	troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K03274	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03592	pmbA; PmbA protein	pmbA; PmbA protein
K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]	coaA; type I pantothenate kinase [EC:2.7.1.33]
K10117	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
K11907	vasG, clpV; type VI secretion system protein VasG	vasG, clpV; type VI secretion system protein VasG
K10264	FBXW8; F-box and WD-40 domain protein 8	FBXW8; F-box and WD-40 domain protein 8
K17557	PPP1R14D, GBPI; protein phosphatase 1 regulatory subunit 14D	PPP1R14D, GBPI; protein phosphatase 1 regulatory subunit 14D
K03175	TRAF6; TNF receptor-associated factor 6 [EC:2.3.2.27]	TRAF6; TNF receptor-associated factor 6 [EC:2.3.2.27]
K08411	GPR26; G protein-coupled receptor 26	GPR26; G protein-coupled receptor 26
K02390	flgE; flagellar hook protein FlgE	flgE; flagellar hook protein FlgE
K15302	STXBP4, SYNIP; syntaxin-binding protein 4	STXBP4, SYNIP; syntaxin-binding protein 4
K16261	YAT; yeast amino acid transporter	YAT; yeast amino acid transporter
K11316	SUPT7L; STAGA complex 65 subunit gamma	SUPT7L; STAGA complex 65 subunit gamma
K12564	SGCG; gamma-sarcoglycan	SGCG; gamma-sarcoglycan
K09160	K09160; uncharacterized protein	K09160; uncharacterized protein
K09310	GSH; homeobox protein GSH	GSH; homeobox protein GSH
K05697	PTPN6, SHP-1; tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]	PTPN6, SHP-1; tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]
K04903	KCNG4; potassium voltage-gated channel subfamily G member 4	KCNG4; potassium voltage-gated channel subfamily G member 4
K06808	CDH13; cadherin 13, H-cadherin	CDH13; cadherin 13, H-cadherin
K01067	E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]	E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]
K03213	NKD; naked cuticle	NKD; naked cuticle
K13481	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
K07260	vanY; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	vanY; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K06187	recR; recombination protein RecR	recR; recombination protein RecR
K17280	CHRDL2; chordin-like protein 2	CHRDL2; chordin-like protein 2
K03774	slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]	slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]
K10495	ZBTB8; zinc finger and BTB domain-containing protein 8	ZBTB8; zinc finger and BTB domain-containing protein 8
K19346	SYNE2; nesprin-2	SYNE2; nesprin-2
K00502	TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]	TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]
K11741	sugE; quaternary ammonium compound-resistance protein SugE	sugE; quaternary ammonium compound-resistance protein SugE
K13893	yejA; microcin C transport system substrate-binding protein	yejA; microcin C transport system substrate-binding protein
K05022	CLIC2; chloride intracellular channel protein 2	CLIC2; chloride intracellular channel protein 2
K09194	SP4; transcription factor Sp4	SP4; transcription factor Sp4
